xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
0.48097,3625.7,4527.5,9.118,27.162,42.531,2728.2,74.684,120.44,0.36173,80.428,50.465,2655.6,24.914,48.861,3131.4,22.63,67.894,282.5,336.87,94.717,77.401,63.536,53.256,47.241,60.12,21.526,43.087,39.469,43.897,62.393,41.099,19.041
0.31255,3658.4,4480.8,9.3842,26.121,42.377,2695.6,75.143,120.41,0.35393,80.001,49.026,2623.2,24.256,51.123,3099.6,22.328,66.435,243.93,338.95,94.436,76.813,62.765,53.63,30.48,61.518,21.528,41.634,35.233,49.134,51.828,41.973,19.637
0.19027,3699.6,4524.6,9.3529,27.068,42.279,2699.0,75.797,120.41,0.35278,80.183,49.094,2627.7,26.04,49.483,3098.2,23.159,65.688,228.88,340.22,94.517,77.321,64.815,53.779,18.775,62.013,21.871,42.188,35.435,45.338,47.764,41.417,17.618
0.34928,3669.4,4449.3,9.4158,26.785,42.518,2712.9,74.471,120.42,0.23082,80.155,49.227,2641.1,25.044,49.324,3117.0,22.104,66.658,247.93,336.75,94.541,76.922,62.984,53.636,34.152,61.237,20.989,27.513,35.826,44.969,52.159,40.764,20.048
0.25371,3714.3,4430.8,9.325,26.895,42.678,2696.1,75.114,120.31,0.3503,80.501,50.017,2622.6,25.204,50.774,3095.2,22.029,66.259,237.4,339.61,96.607,77.188,62.471,52.894,25.012,62.8,21.754,41.346,38.151,48.325,50.055,38.403,20.34
0.18706,3687.7,4621.0,9.4326,26.974,42.156,2734.8,76.461,120.38,0.31645,79.491,50.075,2664.0,24.748,49.333,3128.7,23.64,66.787,222.68,344.62,94.455,76.967,63.485,55.264,18.103,59.921,23.589,36.771,38.321,44.99,47.157,41.028,16.424
0.18653,3633.3,4533.7,9.4836,27.145,42.139,2708.3,74.586,120.39,0.35906,79.948,50.099,2637.4,26.007,48.41,3102.4,21.602,64.901,236.07,344.42,94.689,77.244,62.501,53.55,18.316,62.94,23.05,41.856,38.39,42.855,47.08,41.083,21.26
0.1946,3667.9,4585.7,8.8594,26.611,41.868,2692.8,77.064,120.35,0.3404,81.476,48.859,2622.3,22.877,49.662,3084.3,21.43,68.621,256.57,342.47,94.893,77.694,62.704,55.11,19.341,58.647,22.746,41.135,34.742,45.751,56.945,39.932,23.258
0.28315,3633.3,4505.0,9.2681,26.667,42.491,2710.6,74.803,120.42,0.31963,80.466,51.633,2640.4,25.248,48.371,3107.9,24.143,67.348,224.72,343.01,94.473,77.949,62.106,53.604,27.682,64.551,22.335,37.954,42.906,42.764,48.505,40.911,15.172
0.44677,3607.3,4617.1,8.3819,26.852,41.72,2668.4,78.111,120.39,0.31024,80.192,51.033,2591.7,24.896,50.817,3082.8,23.578,60.871,116.42,319.57,95.801,75.824,62.344,54.587,43.977,69.188,17.23,39.179,41.141,48.425,22.122,38.348,17.546
0.23337,3628.3,4579.2,9.4461,26.619,42.712,2713.2,74.749,120.28,0.32633,79.338,48.0,2642.8,23.898,50.796,3108.5,24.096,65.162,226.02,343.39,94.542,76.888,62.586,54.015,23.346,62.172,22.673,38.719,32.215,48.376,45.938,41.023,15.434
0.24273,3603.6,4552.2,9.2378,26.713,42.158,2703.6,74.802,120.7,0.3322,79.945,50.757,2631.9,25.967,49.407,3100.8,23.283,65.738,231.5,339.93,95.971,77.201,62.77,53.367,23.572,60.352,21.975,39.506,40.327,45.163,47.705,50.424,17.366
0.2582,3680.6,4501.3,9.4096,27.226,42.27,2692.0,74.82,120.4,0.3489,80.372,50.439,2619.5,24.139,49.161,3094.9,23.116,65.675,225.85,338.0,94.746,77.716,62.968,53.647,25.311,59.117,21.103,41.782,39.391,44.591,46.699,40.845,17.697
